passengerId,longestRun
9441,19
288,19
2867,18
2437,18
3608,18
2068,18
950,17
2857,17
3173,17
1651,17
1074,17
3309,17
92,17
3117,17
5668,17
2378,17
798,17
1337,17
888,17
525,17
1265,16
4774,16
4200,16
1769,16
4641,16
1464,16
4816,16
1240,16
1158,16
721,16
4552,16
437,16
10795,16
2717,16
1598,16
459,16
7837,16
5769,16
5416,16
4827,16
2518,16
1482,16
3409,16
3078,16
6777,16
4335,16
3837,16
5447,15
210,15
3279,15
2789,15
10461,15
972,15
1242,15
139,15
10569,15
1818,15
7581,15
6027,15
5716,15
1733,15
8679,15
4441,15
1800,15
2734,15
5423,15
813,15
664,15
3405,15
1673,15
391,15
8353,15
5711,15
264,15
1581,15
2251,15
9410,15
11198,15
4082,15
2408,15
335,15
3802,15
662,15
2747,15
4611,15
5332,15
3924,15
2065,15
276,15
8981,15
2969,15
5380,15
407,15
833,14
392,14
451,14
2656,14
7810,14
613,14
3436,14
772,14
7118,14
1276,14
8036,14
350,14
2684,14
3180,14
11483,14
3670,14
7877,14
1288,14
435,14
603,14
5959,14
5819,14
3453,14
631,14
6365,14
3645,14
479,14
1444,14
6050,14
920,14
5467,14
1917,14
2485,14
2412,14
3937,14
1250,14
4034,14
64,14
4247,14
2910,14
5330,14
8024,14
1263,14
5043,14
4542,14
1248,14
5760,14
6059,14
6882,14
8529,14
3545,14
6591,14
290,14
3093,14
1254,14
1315,14
4080,14
6052,14
6093,14
8821,14
2262,14
4632,14
6113,14
6548,14
5136,14
6001,14
9252,14
9620,14
4379,14
763,14
8704,14
3461,14
3153,14
3801,14
968,14
1740,14
10329,14
1562,14
8609,14
8684,14
2604,14
4802,14
5012,14
1196,14
4283,14
3472,14
3883,14
199,14
690,14
5081,14
8045,14
4854,14
4903,14
5009,14
5198,14
5073,14
8048,14
18,14
1246,14
5544,14
2511,14
3794,13
4190,13
1143,13
2776,13
2488,13
5740,13
7661,13
4092,13
1888,13
4097,13
362,13
7726,13
368,13
3152,13
126,13
1201,13
1772,13
4876,13
4538,13
253,13
1955,13
4209,13
8260,13
1046,13
860,13
3171,13
3859,13
6100,13
4397,13
3071,13
3963,13
3920,13
416,13
6067,13
3029,13
4451,13
6382,13
8007,13
674,13
9752,13
274,13
4016,13
6060,13
1155,13
2685,13
4220,13
1218,13
2196,13
2537,13
1646,13
7680,13
6900,13
2653,13
3709,13
4852,13
4399,13
5096,13
1029,13
3364,13
5010,13
8702,13
3249,13
9202,13
5015,13
7682,13
1739,13
3332,13
6584,13
6084,13
262,13
1946,13
3527,13
6166,13
269,13
5876,13
366,13
4353,13
1828,13
3410,13
9098,13
1108,13
9069,13
2702,13
2861,13
398,13
4983,13
7433,13
381,13
3468,13
1386,13
485,13
1272,13
441,13
7685,13
7209,13
2030,13
7825,13
8998,13
3002,13
637,13
446,13
1498,13
3169,13
2277,13
3356,13
649,13
4009,13
443,13
5278,13
6080,13
4329,13
5615,13
928,13
1230,13
2143,13
9101,13
2851,13
7463,13
5798,13
7540,13
2728,13
3343,13
9699,13
10440,13
2482,13
1343,13
5922,13
8461,13
1333,13
4395,13
3414,13
364,13
4473,13
9997,13
356,13
3278,13
